iter	MAE
0	46.00332677
5	45.91782458
10	45.83227309
15	45.74732969
20	45.66109205
25	45.57539265
30	45.48970968
35	45.40437595
40	45.31845879
45	45.23318258
50	45.1480132
55	45.06272878
60	44.97748133
65	44.89181069
70	44.80559359
75	44.71986543
80	44.63412494
85	44.54838034
90	44.46331368
95	44.37788956
100	44.29201759
105	44.2064661
110	44.12095981
115	44.03537956
120	43.95093742
125	43.86602278
130	43.78086573
135	43.69593054
140	43.61124599
145	43.52688603
150	43.44196317
155	43.35735258
160	43.27253244
165	43.18767121
170	43.10308527
175	43.01865545
180	42.93392981
185	42.84924115
190	42.76495515
195	42.68079651
200	42.59671183
205	42.51257784
210	42.42869038
215	42.34407978
220	42.26057032
225	42.17672395
230	42.09274609
235	42.00956533
240	41.92641743
245	41.84419399
250	41.76205684
255	41.67970603
260	41.59744151
265	41.51541118
270	41.43373009
275	41.35243522
280	41.27077057
285	41.18920864
290	41.10779872
295	41.02672572
300	40.9451227
305	40.86367992
310	40.78242203
315	40.70112716
320	40.61977477
325	40.5386196
330	40.45758357
335	40.3766174
340	40.29592651
345	40.21532601
350	40.13499258
355	40.05530833
360	39.97479822
365	39.89482636
370	39.81450114
375	39.73445121
380	39.65437663
385	39.5748485
390	39.49485609
395	39.41533618
400	39.33531501
405	39.25542121
410	39.17612318
415	39.0965704
420	39.01746136
425	38.93794556
430	38.85863109
435	38.77940701
440	38.70090195
445	38.62242565
450	38.54449582
455	38.46703437
460	38.38902647
465	38.31130617
470	38.23433366
475	38.15726254
480	38.08049547
485	38.00413927
490	37.92741739
495	37.8510242
500	37.77470087
505	37.69874732
510	37.62280199
515	37.54732915
520	37.4716591
525	37.39625612
530	37.32056553
535	37.24526115
540	37.17013345
545	37.09525638
550	37.02022318
555	36.94592133
560	36.87152087
565	36.79663148
570	36.72209132
575	36.64822089
580	36.57446138
585	36.50027869
590	36.42683145
595	36.3526282
600	36.27948912
605	36.20564744
610	36.13240975
615	36.05883925
620	35.98541255
625	35.91216253
630	35.83868242
635	35.76577753
640	35.69264666
645	35.61943362
650	35.54642601
655	35.47394432
660	35.40113803
665	35.32877139
670	35.2564376
675	35.18410382
680	35.112411
685	35.0405867
690	34.96944445
695	34.89829398
700	34.82702024
705	34.75612451
710	34.68551639
715	34.61483431
720	34.54407005
725	34.47383582
730	34.40348449
735	34.33349267
740	34.26335089
745	34.19321732
750	34.12375553
755	34.05409241
760	33.98421769
765	33.91451759
770	33.84461205
775	33.77539473
780	33.70612604
785	33.63804272
790	33.56934104
795	33.50094751
